102.40 	105.20 	101.70 	98.90 	99.30 	102.50 	100.00 	100.30 	100.30 
102.80 	105.90 	101.70 	98.70 	99.50 	102.80 	100.00 	100.40 	104.50 
103.10 	106.10 	101.70 	98.80 	99.70 	103.20 	100.10 	100.60 	105.00 
102.90 	105.70 	101.70 	99.00 	100.00 	103.20 	99.70 	100.90 	105.00 
103.30 	106.80 	101.60 	99.20 	100.20 	103.30 	99.30 	101.10 	104.80 
103.50 	107.50 	101.50 	98.80 	100.40 	103.30 	99.40 	101.20 	104.40 
103.60 	108.00 	101.40 	98.50 	100.40 	103.40 	99.30 	101.20 	104.30 
104.40 	110.10 	101.50 	98.70 	100.50 	103.70 	99.50 	100.90 	104.90 
105.10 	117.10 	101.60 	99.30 	100.70 	104.00 	99.30 	100.60 	105.80 
104.60 	109.60 	101.80 	100.10 	101.20 	104.00 	99.30 	100.70 	106.00 
104.90 	110.30 	101.80 	99.80 	101.40 	103.20 	99.90 	101.00 	106.80 
104.90 	111.00 	101.90 	100.40 	101.40 	103.00 	99.70 	100.30 	106.10 
105.40 	111.70 	102.10 	100.80 	101.90 	103.20 	100.10 	100.50 	106.60 
